Plant species ID;Plant species name;Family ;Origin
Alstonia;Alstonia macrophylla;Apocynaceae;Exotic
Aphloia;Aphloia theiformis;Flacourtiaceae;Native
Campnosperma;Campnosperma seychellarum;Anacardiaceae;Endemic
Canthium_b;Pyrostria bibracteata;Rubiaceae;Endemic
Canthium_c;Peponidium carinatum;Rubiaceae;Endemic
Chrysobalanus;Chrysobalanus icaco ;Chrysobalanaceae;Exotic
Cinnamomum;Cinnamomum verum;Lauraceae;Exotic
Colea;Colea seychellarum;Bignoniaceae;Endemic
Craterispermum;Craterispermum microdon;Rubiaceae;Endemic
Deckenia;Deckenia nobilis;Palmae;Endemic
Dillenia;Dillenia ferruginea;Dilleniaceae;Endemic
Dracaena;Dracaena reflexa var. angustifolia;Dracenaceae;Native
Erythroxylum;Erythroxylum sechellarum;Erythroxylaceae;Endemic
Excoecaria;Excoecaria benthamiana;Euphorbiaceae;Endemic
Glionnetia;Glionnetia sericea;Rubiaceae;Endemic
Ixora;Ixora pudica ;Rubiaceae;Endemic
Medusagyne;Medusagyne oppositifolia;Medusagynaceae;Endemic
Memecylon;Memecylon elaeagni;Melastomataceae;Endemic
Mimusops;Mimusops sechellarum;Sapotaceae;Endemic
Nepenthes;Nepenthes pervillei;Nepenthaceae;Endemic
Nephrosperma;Nephrosperma vanhoutteanum ;Palmae;Endemic
Northea;Northea seychellana;Sapotaceae;Endemic
Ochna;Ochna kirkii;Ochnaceae;Exotic
Paragenipa;Paragenipa lancifolia;Rubiaceae;Endemic
Phoenicophorium;Phoenicophorium borsigianum;Palmae;Endemic
Pittosporum;Pittosporum senacia subsp. wrightii;Pittosporaceae;Native
Polyscias;Polyscias crassa;Araliaceae;Endemic
Premna;Premna serratifolia ;Lamiaceae;Native
Psidium;Psidium cattleianum;Myrtaceae;Exotic
Psychotria;Psychotria pervillei;Rubiaceae;Endemic
Roscheria;Roscheria melanochaetes;Palmae;Endemic
Soulamea;Soulamea terminalioides;Simaroubaceae;Endemic
Syzygium_j;Syzygium jambos;Myrtaceae;Exotic
Syzygium_w;Syzygium wrightii;Myrtaceae;Endemic
Timoneus;Timonius flavescens;Rubiaceae;Endemic
