Treatment;Site;Month;Network ID;Plant species ID;Floral abundance;Plant species name;Pollinator species;Number of visits
Restored;Bernica;1;Ber_1;Dillenia ferruginea;0,0625;Dillenia ferruginea;Lasioglossum mahense;1
Restored;Bernica;1;Ber_1;Dillenia ferruginea;0,0625;Dillenia ferruginea;near Eurycratus sp1;5
Restored;Bernica;1;Ber_1;Dillenia ferruginea;0,0625;Dillenia ferruginea;Stenomorda near disparilis;1
Restored;Bernica;1;Ber_1;Dillenia ferruginea;0,0625;Dillenia ferruginea;Mabuya seychellensis;1
Restored;Bernica;1;Ber_1;Erythroxylum sechellarum;0,1875;Erythroxylum sechellarum;Lasioglossum mahense;9
Restored;Bernica;1;Ber_1;Erythroxylum sechellarum;0,1875;Erythroxylum sechellarum;Apis mellifera;7
Restored;Bernica;1;Ber_1;Erythroxylum sechellarum;0,1875;Erythroxylum sechellarum;Amblypsilopus (?) sp. indet.;1
Restored;Bernica;1;Ber_1;Mimusops sechellarum;0,0750;Mimusops sechellarum;Lasioglossum mahense;1
Restored;Bernica;1;Ber_1;Mimusops sechellarum;0,0750;Mimusops sechellarum;Lygistorrhina sp;3
Restored;Bernica;1;Ber_1;Mimusops sechellarum;0,0750;Mimusops sechellarum;Apis mellifera;5
Restored;Bernica;1;Ber_1;Nephrosperma vanhoutteanum;0,2750;Nephrosperma vanhoutteanum;Musca domestica;9
Restored;Bernica;1;Ber_1;Nephrosperma vanhoutteanum;0,2750;Nephrosperma vanhoutteanum;Dermestidae sp1;4
Restored;Bernica;1;Ber_1;Nephrosperma vanhoutteanum;0,2750;Nephrosperma vanhoutteanum;Rhiparida seychellensis;15
Restored;Bernica;1;Ber_1;Nephrosperma vanhoutteanum;0,2750;Nephrosperma vanhoutteanum;Parasarcophaga hirticeps;4
Restored;Bernica;1;Ber_1;Nephrosperma vanhoutteanum;0,2750;Nephrosperma vanhoutteanum;Lobosciara bilotata;3
Restored;Bernica;1;Ber_1;Nephrosperma vanhoutteanum;0,2750;Nephrosperma vanhoutteanum;Lasioglossum mahense;17
